163,48,  Penguatan tertinggi terlihat di saham PT Charoen Pokphand Indonesia Tbk ( CPIN ).,6,CPIN,Charoen Pokphand Indonesia Tbk. [S],1
164,48," Harga saham CPIN naik 6,69% ke level Rp 5.",7,CPIN,Charoen Pokphand Indonesia Tbk. [S],1
165,48, Dia menargetkan harga CPIN mencapai Rp 6.,19,CPIN,Charoen Pokphand Indonesia Tbk. [S],1
166,49," Bersamaan dengan itu, emiten berkode saham  EXCL  tersebut juga dipercaya dapat memperoleh kinerja keuangan yang mentereng.",5,EXCL,XL Axiata Tbk.,1
167,49,"  Berdasarkan data RTI, Selasa (2/7) harga saham EXCL boleh saja turun 1% ke level Rp 2.",6,EXCL,XL Axiata Tbk.,0
168,49,"  Analis RHB Sekuritas Michael Wilson Setjoadi mengatakan, lonjakan harga saham EXCL terjadi seiring adanya indikasi emiten ini mampu mencetak kinerja yang positif begitu laporan keuangan kuartal kedua dirilis.",9,EXCL,XL Axiata Tbk.,1
169,49,  Potensi ini timbul lantaran EXCL mendapat angin segar berupa tingginya permintaan layanan data saat momen libur Lebaran lalu.,10,EXCL,XL Axiata Tbk.,1
170,49,"id sebelumnya, trafik layanan data EXCL meningkat hingga 24% dibandingkan hari biasa.",13,EXCL,XL Axiata Tbk.,1
171,49,"  Sebelumnya dalam riset per 29 Mei, Analis  Deutsche  Verdhana Sekuritas Indonesia Raymond Kosasih menilai, terdapat korelasi positif antara kinerja harga saham EXCL dengan kinerja keuangan perusahaan halo-halo ini.",16,EXCL,XL Axiata Tbk.,1
172,49," Artinya, begitu performa keuangan EXCL meningkat, maka potensi  bullish  harga saham anggota indeks  Kompas100  ini sangat terbuka.",17,EXCL,XL Axiata Tbk.,1
173,49,"  Asal tahu saja, kinerja EXCL terbilang cemerlang sejauh ini.",18,EXCL,XL Axiata Tbk.,1
174,49," Hingga kuartal I-2019, EXCL sukses meraup laba bersih Rp 57,19 miliar atau naik 270,64% (yoy).",19,EXCL,XL Axiata Tbk.,1
175,49,  Hasil ini jelas jauh lebih baik dibandingkan perolehan kinerja EXCL di tahun lalu.,21,EXCL,XL Axiata Tbk.,1
176,49,"  Analis Kresna Sekuritas Etta Rusdiana Putra menambahkan, kesuksesan EXCL dalam memperbaiki kinerjanya tak lepas dari upaya efisiensi yang cukup ketat.",23,EXCL,XL Axiata Tbk.,1
177,49," “Kami berpendapat EXCL akan terus menjadi perusahaan telekomunikasi paling efisien di Indonesia,” ungkap Etta dalam riset.",26,EXCL,XL Axiata Tbk.,1
178,49,  Para analis pun kompak merekomendasikan beli saham EXCL.,27,EXCL,XL Axiata Tbk.,1
179,50,  Prospek bisnis PT XL Axiata Tbk ( EXCL ) dinilai masih cerah di semester kedua seiring tingginya porsi pendapatan layanan data.,4,EXCL,XL Axiata Tbk.,1
180,50, Bukan berarti bisnis emiten berkode  EXCL  luput dari tantangan.,5,EXCL,XL Axiata Tbk.,2
181,50,"  Analis Kresna Sekuritas Etta Rusdiana Putra menyebut, layanan data akan menjadi penopang utama kinerja EXCL dalam beberapa waktu ke depan.",6,EXCL,XL Axiata Tbk.,2
182,50," Catatan saja, sampai kuartal satu lalu, porsi pendapatan layanan data mencapai 73,7% dari total pendapatan EXCL.",7,EXCL,XL Axiata Tbk.,1
